vid,sid,date,transId,transPage,hitNo,sOrigin,sDes,sMarket,sld
4535413624108621520,1485937151,20170201,zulxsh,/vbook/actions/bookingconfirmation,72,hlz,pmr,domestic,51
4536386172234243186,1485905413,20170201,ybrysh,/vbook/actions/bookingconfirmation,33,pmr,akl,domestic,18
4536734051594231761,1485895770,20170201,ast2lh,/vbook/actions/mobi/bookingconfirmation,4,wlg,akl,domestic,21
4537755622491256439,1485883054,20170201,6ewrqh,/vbook/actions/bookingconfirmation,71,akl,zqn,domestic,23
4537765977731955528,1485912539,20170201,2hc72h,/vbook/actions/mobi/purchasetickets,20,hlz,chc,domestic,6
4539688336222616330,1485931856,20170201,5xsb4h,/vbook/actions/bookingconfirmation,91,npe,akl,domestic,18
4541474200940425604,1485891238,20170201,ajtchh,/vbook/actions/bookingconfirmation,55,dud,nrt,long haul,32
4541474200940425604,1485901442,20170201,ya7xdh,/vbook/actions/bookingconfirmation,63,dud,rot,domestic,41
4541686398101570544,1485906893,20170201,en6ayh,/vbook/actions/bookingconfirmation,112,chc,mel,tasman,13
4541686398101570544,1485906893,20170201,mv3kjh,/vbook/actions/bookingconfirmation,167,chc,mel,tasman,13
4542894301826936940,1485902803,20170201,2fssqh,/vbook/actions/bookingconfirmation,2,mel,wlg,tasman,3
4543353889016923488,1485931925,20170201,gr4pdh,/vbook/actions/bookingconfirmation,59,chc,npl,domestic,43
4544678873623352252,1485922214,20170201,5wm42h,/vbook/actions/bookingconfirmation,73,pmr,ool,tasman,88
4544678873623352252,1485923302,20170201,w5xaqh,/vbook/actions/bookingconfirmation,42,ivc,pmr,domestic,86
4546003789417845057,1485909539,20170201,ephmjh,/vbook/actions/bookingconfirmation,36,akl,chc,domestic,2
4546606205815500100,1485937535,20170201,2lfknh,/vbook/actions/mobi/review,4,akl,npl,domestic,12
4548384511277127011,1485912323,20170201,3nnnjh,/vbook/actions/bookingconfirmation,77,wlg,npl,domestic,7
4549234742979371719,1485895118,20170201,akfsjh,/vbook/actions/mobi/review,6,wlg,akl,domestic,13
4549493136815499588,1485899359,20170201,il46uh,/vbook/actions/bookingconfirmation,51,chc,nsn,domestic,1
4551131997490718258,1485905741,20170201,pjch2h,/vbook/actions/bookingconfirmation,57,wlg,trg,domestic,23
4551588625589324857,1485906773,20170201,d8578h,/vbook/actions/bookingconfirmation,46,zqn,akl,domestic,50
4552789597207686149,1485907598,20170201,6h3wqh,/vbook/actions/bookingconfirmation,73,wlg,chc,domestic,6
4553878775158042340,1485904931,20170201,u2y72h,/vbook/actions/bookingconfirmation,44,chc,akl,domestic,51
4554384073763771130,1485933809,20170201,4pla6h,/vbook/actions/mobi/purchasetickets,19,wlg,syd,tasman,30
4556024240173403606,1485896040,20170201,yal4wh,/vbook/actions/bookingconfirmation,61,dud,akl,domestic,51
4557257372450286348,1485937312,20170201,azqf2h,/vbook/actions/bookingconfirmation,1,chc,hlz,domestic,82
4562264600037372235,1485919195,20170201,jcqzbh,/vbook/actions/bookingconfirmation,66,npe,chc,domestic,28
4563044557507644898,1485933736,20170201,fqrufh,/vbook/actions/bookingconfirmation,64,wlg,npe,domestic,19
4563121428784397796,1485922446,20170201,3vmabh,/vbook/actions/bookingconfirmation,94,hlz,nsn,domestic,36
4563362934843588218,1485929732,20170201,azbh6h,/vbook/actions/mobi/purchasetickets,20,wlg,dud,domestic,18
4564054132504511570,1485935606,20170201,4pvmqh,/vbook/actions/bookingconfirmation,117,akl,hnl,pacific,72
4565305612937208181,1485917023,20170201,4bpbsh,/vbook/actions/bookingconfirmation,61,akl,npl,domestic,2
323019178943503619,1485888778,20170201,tt57sh,/vbook/actions/mobi/bookingconfirmation,74,ivc,chc,domestic,8
324649338075375655,1485938184,20170201,qlynlh,/vbook/actions/mobi/purchasetickets,30,apw,akl,pacific,13
325442549810093766,1485919876,20170201,yeu7fh,/vbook/actions/bookingconfirmation,89,wlg,bne,tasman,10
325641445444267661,1485927805,20170201,2kitsh,/vbook/actions/bookingconfirmation,143,akl,nsn,domestic,71
325766068189850319,1485907201,20170201,uhra4h,/vbook/actions/bookingconfirmation,71,akl,wlg,domestic,23
325766068189850319,1485911216,20170201,amwfwh,/vbook/actions/bookingconfirmation,99,akl,wlg,domestic,57
325766068189850319,1485911216,20170201,w3n4qh,/vbook/actions/bookingconfirmation,161,akl,wlg,domestic,57
326303725118356425,1485896612,20170201,2dw7wh,/vbook/actions/bookingconfirmation,92,pmr,chc,domestic,65
328994805525982289,1485933305,20170201,ygm7sh,/vbook/actions/bookingconfirmation,62,dud,wlg,domestic,63
329603376676680720,1485903651,20170201,enk4dh,/vbook/actions/bookingconfirmation,57,akl,mel,tasman,9
329603376676680720,1485903651,20170201,ir43fh,/vbook/actions/bookingconfirmation,109,mel,akl,tasman,12
330263624771176460,1485894122,20170201,tuu6jh,/vbook/actions/bookingconfirmation,71,npe,akl,domestic,67
330263624771176460,1485894122,20170201,lqkash,/vbook/actions/bookingconfirmation,110,akl,npe,domestic,65
414413643459030548,1485926656,20170201,4c7x8h,/vbook/actions/bookingconfirmation,64,wlg,akl,domestic,21
331492676945012474,1485900966,20170201,ala84h,/vbook/actions/bookingconfirmation,45,akl,nan,pacific,13
331492676945012474,1485900966,20170201,r3knjh,/vbook/actions/bookingconfirmation,85,zqn,akl,domestic,11
415661464600648493,1485923040,20170201,qnw2uh,/vbook/actions/bookingconfirmation,80,akl,npe,domestic,25
416872830055492952,1485931949,20170201,nsmgnh,/vbook/actions/bookingconfirmation,122,kke,akl,domestic,87
331825481098249956,1485903637,20170201,u2txlh,/vbook/actions/bookingconfirmation,54,dud,akl,domestic,6
332622876140402708,1485907269,20170201,inasuh,/vbook/actions/bookingconfirmation,81,chc,akl,domestic,19
418392690131761689,1485911836,20170201,my68yh,/vbook/actions/bookingconfirmation,62,akl,adl,tasman,235
332951166232336243,1485912107,20170201,uigajh,/vbook/actions/bookingconfirmation,2,wlg,akl,domestic,18
420609533195284153,1485906153,20170201,e8wx2h,/vbook/actions/bookingconfirmation,59,npl,akl,domestic,140
420944901361501362,1485912214,20170201,msqinh,/vbook/actions/bookingconfirmation,129,akl,nan,pacific,57
334508340974484384,1485917062,20170201,3pkx4h,/vbook/actions/bookingconfirmation,72,nsn,wlg,domestic,8
334818364620984253,1485914024,20170201,hlijuh,/vbook/actions/mobi/purchasetickets,11,chc,akl,domestic,52
