A_market,A_tier_points_level,A_bld,bookingLeadMonths,A_productName,B_AncillaryCategory
tasman,,348,11.6,car,car
domestic,,269,8.966666667,car,car
tasman,,34,1.133333333,car,car
tasman,,8,0.266666667,car,car
domestic,,103,3.433333333,car,car
tasman,,108,3.6,car,car
domestic,,90,3,car,car
domestic,,94,3.133333333,car,car
domestic,,87,2.9,car,car
tasman,,24,0.8,car,car
domestic,,53,1.766666667,car,car
tasman,,207,6.9,car,car
domestic,,182,6.066666667,car,car
long haul,,4,0.133333333,car,car
domestic,,147,4.9,car,car
domestic,,38,1.266666667,car,car
domestic,,1,0.033333333,car,car
tasman,,98,3.266666667,car,car
domestic,,68,2.266666667,car,car
domestic,,70,2.333333333,car,car
tasman,,82,2.733333333,car,car
long haul,,21,0.7,car,car
tasman,,217,7.233333333,car,car
tasman,,47,1.566666667,car,car
domestic,,37,1.233333333,car,car
domestic,,187,6.233333333,car,car
domestic,,153,5.1,car,car
domestic,,178,5.933333333,car,car
domestic,,67,2.233333333,car,car
tasman,,194,6.466666667,car,car
domestic,,85,2.833333333,car,car
domestic,,50,1.666666667,car,car
domestic,,136,4.533333333,car,car
domestic,,9,0.3,car,car
tasman,,103,3.433333333,car,car
pacific,,126,4.2,car,car
tasman,,26,0.866666667,car,car
long haul,,72,2.4,car,car
domestic,,16,0.533333333,car,car
tasman,,55,1.833333333,car,car
domestic,,31,1.033333333,car,car
tasman,,1,0.033333333,car,car
tasman,,20,0.666666667,car,car
domestic,,99,3.3,car,car
tasman,,173,5.766666667,car,car
domestic,,148,4.933333333,car,car
domestic,,26,0.866666667,car,car
long haul,,108,3.6,car,car
tasman,,152,5.066666667,car,car
domestic,,49,1.633333333,car,car
domestic,,21,0.7,car,car
tasman,,189,6.3,car,car
tasman,,62,2.066666667,car,car
domestic,,0,0,car,car
domestic,,69,2.3,car,car
domestic,,35,1.166666667,car,car
long haul,,215,7.166666667,car,car
domestic,,65,2.166666667,car,car
tasman,,42,1.4,car,car
tasman,,3,0.1,car,car
domestic,,24,0.8,car,car
tasman,,66,2.2,car,car
domestic,,209,6.966666667,car,car
domestic,,174,5.8,car,car
domestic,,10,0.333333333,car,car
domestic,,152,5.066666667,car,car
tasman,,84,2.8,car,car
domestic,,5,0.166666667,car,car
tasman,,144,4.8,car,car
domestic,,51,1.7,car,car
domestic,,110,3.666666667,car,car
tasman,,40,1.333333333,car,car
domestic,,32,1.066666667,car,car
tasman,,12,0.4,car,car
domestic,,189,6.3,car,car
domestic,,17,0.566666667,car,car
domestic,,34,1.133333333,car,car
domestic,,11,0.366666667,car,car
domestic,,223,7.433333333,car,car
tasman,,71,2.366666667,car,car
long haul,,209,6.966666667,car,car
domestic,,86,2.866666667,car,car
domestic,,41,1.366666667,car,car
tasman,,112,3.733333333,car,car
tasman,,48,1.6,car,car
tasman,,142,4.733333333,car,car
tasman,,79,2.633333333,car,car
long haul,,95,3.166666667,car,car
tasman,,58,1.933333333,car,car
domestic,,228,7.6,car,car
tasman,,75,2.5,car,car
domestic,,184,6.133333333,car,car
domestic,,43,1.433333333,car,car
domestic,,113,3.766666667,car,car
domestic,,7,0.233333333,car,car
tasman,,0,0,car,car
domestic,,95,3.166666667,car,car
pacific,,166,5.533333333,car,car
domestic,,58,1.933333333,car,car
domestic,,18,0.6,car,car
long haul,,249,8.3,car,car
domestic,,78,2.6,car,car
domestic,,56,1.866666667,car,car
tasman,,202,6.733333333,car,car
tasman,,19,0.633333333,car,car
domestic,,30,1,car,car
tasman,,73,2.433333333,car,car
domestic,,45,1.5,car,car
tasman,,52,1.733333333,car,car
long haul,,98,3.266666667,car,car
domestic,,83,2.766666667,car,car
tasman,,43,1.433333333,car,car
tasman,,60,2,car,car
domestic,,66,2.2,car,car
domestic,,39,1.3,car,car
domestic,,3,0.1,car,car
domestic,,142,4.733333333,car,car
tasman,,38,1.266666667,car,car
pacific,,218,7.266666667,car,car
tasman,,22,0.733333333,car,car
tasman,,21,0.7,car,car
long haul,,206,6.866666667,car,car
domestic,,263,8.766666667,car,car
tasman,,36,1.2,car,car
tasman,,51,1.7,car,car
domestic,,77,2.566666667,car,car
tasman,,46,1.533333333,car,car
pacific,,250,8.333333333,car,car
tasman,,284,9.466666667,car,car
tasman,,78,2.6,car,car
domestic,,93,3.1,car,car
tasman,,285,9.5,car,car
domestic,,128,4.266666667,car,car
domestic,,74,2.466666667,car,car
domestic,,52,1.733333333,car,car
tasman,,150,5,car,car
tasman,,35,1.166666667,car,car
tasman,,162,5.4,car,car
long haul,,20,0.666666667,car,car
domestic,,4,0.133333333,car,car
tasman,,44,1.466666667,car,car
domestic,,73,2.433333333,car,car
tasman,,166,5.533333333,car,car
tasman,,111,3.7,car,car
domestic,,42,1.4,car,car
domestic,,82,2.733333333,car,car
domestic,,72,2.4,car,car
tasman,,17,0.566666667,car,car
domestic,,98,3.266666667,car,car
domestic,,107,3.566666667,car,car
tasman,,68,2.266666667,car,car
tasman,,215,7.166666667,car,car
domestic,,13,0.433333333,car,car
long haul,,44,1.466666667,car,car
domestic,,75,2.5,car,car
tasman,,124,4.133333333,car,car
domestic,,111,3.7,car,car
tasman,,7,0.233333333,car,car
tasman,,76,2.533333333,car,car
tasman,,9,0.3,car,car
tasman,,50,1.666666667,car,car
tasman,,27,0.9,car,car
tasman,,39,1.3,car,car
domestic,,213,7.1,car,car
long haul,,59,1.966666667,car,car
domestic,,28,0.933333333,car,car
tasman,,193,6.433333333,car,car
domestic,,12,0.4,car,car
domestic,,124,4.133333333,car,car
long haul,,1,0.033333333,car,car
domestic,,44,1.466666667,car,car
long haul,,31,1.033333333,car,car
tasman,,86,2.866666667,car,car
tasman,,253,8.433333333,car,car
tasman,,129,4.3,car,car
tasman,,13,0.433333333,car,car
domestic,,2,0.066666667,car,car
domestic,,186,6.2,car,car
domestic,,135,4.5,car,car
pacific,,3,0.1,car,car
domestic,,282,9.4,car,car
tasman,,83,2.766666667,car,car
tasman,,132,4.4,car,car
tasman,,56,1.866666667,car,car
domestic,,22,0.733333333,car,car
tasman,,101,3.366666667,car,car
domestic,,127,4.233333333,car,car
long haul,,56,1.866666667,car,car
tasman,,6,0.2,car,car
long haul,,3,0.1,car,car
domestic,,167,5.566666667,car,car
tasman,,81,2.7,car,car
tasman,,109,3.633333333,car,car
domestic,,29,0.966666667,car,car
domestic,,14,0.466666667,car,car
domestic,,120,4,car,car
pacific,,85,2.833333333,car,car
tasman,,2,0.066666667,car,car
domestic,,23,0.766666667,car,car
tasman,,30,1,car,car
tasman,,267,8.9,car,car
pacific,,142,4.733333333,car,car
tasman,,4,0.133333333,car,car
tasman,,33,1.1,car,car
long haul,,2,0.066666667,car,car
domestic,,211,7.033333333,car,car
domestic,,19,0.633333333,car,car
domestic,,55,1.833333333,car,car
domestic,,20,0.666666667,car,car
tasman,,10,0.333333333,car,car
domestic,,63,2.1,car,car
pacific,,245,8.166666667,car,car
long haul,,135,4.5,car,car
domestic,,33,1.1,car,car
tasman,,96,3.2,car,car
pacific,,5,0.166666667,car,car
tasman,,151,5.033333333,car,car
domestic,,170,5.666666667,car,car
domestic,,47,1.566666667,car,car
long haul,,335,11.16666667,car,car
domestic,,6,0.2,car,car
tasman,,37,1.233333333,car,car
tasman,,113,3.766666667,car,car
domestic,,112,3.733333333,car,car
