Date_of_Week,Year,Month,Channel,Brand,Country,Category,Partnership,NMV,Item,ASP,PV
2017-12-10,2017,Dec,Shopee,Tresemme,TH,Others,Retail,436.18317862744595,72.0,6.0580997031589714,1824
2017-12-10,2017,Dec,Shopee,Axe,TH,Others,Retail,5.9139646704893165,1.0,5.9139646704893165,38
2017-04-02,2017,Apr,Lazada,AXE,PH,Health & Beauty,Retail,12593.596064345842,6316.639710000004,1.9937176477563945,67676
2017-04-02,2017,Apr,Lazada,AXE,ID,Health & Beauty,MP,19803.181660639519,7243.8141300000025,2.7338058797816656,298657
2017-04-02,2017,Apr,Lazada,Sunsilk,ID,Health & Beauty,MP,3801.6951992987615,2245.0248699999993,1.6933866747314754,57470
2017-04-02,2017,Apr,Lazada,Sunsilk,ID,Health & Beauty,Retail,0.0,0.0,,2398
2017-04-02,2017,Apr,Lazada,AXE,ID,Health & Beauty,Retail,14021.956015914533,8182.021999999999,1.7137519327025197,159308
2017-04-02,2017,Apr,Lazada,Clear,SG,Health & Beauty,MP,664.569658379071,81.806619999999981,8.1236660111256427,3872
2017-04-02,2017,Apr,Lazada,Rexona,SG,Health & Beauty,MP,145.35583303969082,49.16667,2.9563896241028895,476
2018-01-14,2018,Jan,Lazada,Dove,ID,Health & Beauty,Retail,61070.367015601558,31492.757119999995,1.9391876926780036,616922
2018-01-14,2018,Jan,Lazada,Vaseline,ID,Health & Beauty,Retail,37106.454499337982,18119.172500000008,2.047911100760146,511643
2018-01-14,2018,Jan,Lazada,CIF,ID,Groceries,Retail,0.0,0.0,,0
2018-01-14,2018,Jan,Lazada,Lifebuoy,ID,Health & Beauty,Retail,0.0,0.0,,0
2018-01-14,2018,Jan,Lazada,Dove,PH,Health & Beauty,Retail,116232.11157159256,50467.47514000001,2.3031093045403446,836177
2018-01-14,2018,Jan,Lazada,Breeze,PH,Groceries,Retail,927.30590302364726,204.69335,4.5302199755079844,6901
2018-01-14,2018,Jan,Lazada,Pureit,VN,Home Appliances,Retail,16469.843344757472,219.04305,75.18998363452971,58471
2018-01-14,2018,Jan,Lazada,Knorr,VN,Groceries,Retail,524.26840581928309,148.00648999999999,3.5421987631710148,4201
2018-01-14,2018,Jan,Lazada,Lifebuoy,VN,Health & Beauty,Retail,4466.1413329956331,1075.70941,4.1518102300468245,31781
2018-01-14,2018,Jan,Lazada,Lux,VN,Health & Beauty,Retail,370.87359327299635,67.37867,5.5043175128419177,23437
2018-01-14,2018,Jan,Lazada,Tresemme,VN,Others,Retail,0.0,0.0,,282
2018-01-14,2018,Jan,Lazada,Beyonde,TH,Health & Beauty,MP,3368.2240082621574,55.85591999999999,60.302005736583659,17486
2018-01-14,2018,Jan,Lazada,Lipton,ID,Groceries,MP,636.81958987992061,192.25850000000005,3.3123091560577058,6206
2018-01-14,2018,Jan,Lazada,Rinso,ID,Groceries,MP,6941.4536927333456,3233.0178100000007,2.1470508672308686,82730
2018-01-14,2018,Jan,Lazada,Zwitsal,ID,Mother & Baby,MP,15733.414311084725,8749.3882499999945,1.7982302146764073,296985
2018-01-14,2018,Jan,Lazada,Tresemme,MY,Health & Beauty,MP,647.39219744213653,103.86148999999999,6.233226554347878,4933
2018-01-14,2018,Jan,Lazada,Lady's Choice,MY,Groceries,MP,761.06019790795278,322.57081,2.3593585479974237,9333
2018-01-14,2018,Jan,Lazada,Sunsilk,MY,Health & Beauty,MP,13748.215319536046,3019.7567300000014,4.5527559167112246,68538
2018-01-14,2018,Jan,Lazada,Simple,SG,Health & Beauty,MP,2660.0782582648235,199.46631000000002,13.335977680966892,7051
2018-01-14,2018,Jan,Lazada,Sunsilk,SG,Health & Beauty,MP,0.0,0.0,,5
2018-01-14,2018,Jan,Lazada,Persil,SG,Groceries,Retail,1900.3971524167366,301.70686,6.2988198293427491,3556
2018-01-14,2018,Jan,Lazada,Simple,SG,Health & Beauty,Retail,0.0,0.0,,20
2018-01-14,2018,Jan,Lazada,Toni & Guy,SG,Health & Beauty,Retail,233.48314614110222,24.77266,9.4250333287221579,1851
2018-01-14,2018,Jan,Lazada,Vaseline,TH,Health & Beauty,Retail,384.6185573900533,91.45808000000001,4.2054081759649149,3461
2018-01-14,2018,Jan,Lazada,Lakme,ID,Health & Beauty,MP,28484.4856148687,3100.4044200000003,9.1873451834611615,381890
2017-10-29,2017,Oct,Lazada,Pond's,ID,Health & Beauty,Retail,21517.088029365568,8787.3211300000021,2.4486516096362991,285843
2017-10-29,2017,Oct,Lazada,Pepsodent,ID,Health & Beauty,Retail,13.992560928429175,9.9819,1.4017933387861203,357
2017-10-29,2017,Oct,Lazada,Sunlight,ID,Groceries,Retail,0.0,0.0,,0
2017-10-29,2017,Oct,Lazada,Sariwangi,ID,Groceries,Retail,0.0,0.0,,0
2017-10-29,2017,Oct,Lazada,CIF,VN,Groceries,Retail,700.78683745534056,261.66683000000006,2.6781645860705403,215736
2017-10-29,2017,Oct,Lazada,Pepsodent,ID,Health & Beauty,MP,2166.1552100836411,1665.3767899999998,1.3006997714214821,42221
2017-10-29,2017,Oct,Lazada,Royco,ID,Groceries,MP,228.42355489845517,318.48569,0.71721763982066256,6674
2017-10-29,2017,Oct,Lazada,CIF,MY,Groceries,MP,128.91170511423002,93.0,1.3861473668196775,1902
2017-10-29,2017,Oct,Lazada,Wall's,MY,Groceries,MP,106.30499257740665,8.96407,11.85900964376747,9781
2017-10-29,2017,Oct,Lazada,Lynx,SG,Health & Beauty,Retail,183.65560183320017,59.18601,3.1030238705599542,182
2017-10-29,2017,Oct,Lazada,Sunsilk,SG,Health & Beauty,Retail,985.345234062342,283.13554999999997,3.4801183887446916,3938
