"","order_id","user_id","date_add","date_complete","payment_method","amount_total"
"4","Can5442","94798232",2015-02-24,2015-05-11,"Cash on Delivery",3104
"5","Paq5444","92231222",2015-02-25,2016-01-01,"Pay Online",3097
"6","Cad5449","19786533",2015-02-25,2015-10-07,"Cash on Delivery",2007
"7","Caa5457","10557468",2015-03-05,2015-12-07,"Cash on Delivery",5290
"8","Cai5468","98823340",2015-03-15,2015-08-12,"Cash on Delivery",2898
"9","Cao5470","11631823",2015-03-15,2015-08-01,"Cash on Delivery",4090
"13","Car5476","13259510",2015-03-18,2015-11-10,"Cash on Delivery",2308
"15","Cab5476","55998471",2015-03-19,2015-07-16,"Cash on Delivery",2507
"18","Pay5478","13790029",2015-03-21,2016-04-03,"Pay Online",3001
"22","Cav5482","18050005",2015-03-24,2015-06-25,"Cash on Delivery",1504
"26","Cah5484","92369469",2015-03-27,2015-06-08,"Cash on Delivery",3006
"31","Cak5489","95021768",2015-04-03,2016-03-10,"Cash on Delivery",2703
"32","Cap5489","10555993",2015-04-02,2015-05-11,"Cash on Delivery",3493
"37","Cax5493","17667669",2015-04-05,2015-05-17,"Cash on Delivery",3902
"40","Cal5494","62082774",2015-04-07,2015-06-01,"Cash on Delivery",2110
"51","Pat5498","16579416",2015-04-11,2015-11-27,"Pay Online",3498
"58","Cac5499","10533216",2015-04-11,2015-10-10,"Cash on Delivery",3509
"59","Cam5500","99241861",2015-04-10,2015-06-24,"Cash on Delivery",1593
"60","Pag5501","10205555",2015-04-11,2016-02-21,"Pay Online",3592
"64","Cas5503","10153961",2015-04-14,2015-08-16,"Cash on Delivery",9241
"66","Paw5504","10156722",2015-04-12,2016-03-03,"Pay Online",2008
"68","Caz5506","10152181",2015-04-13,2015-07-10,"Cash on Delivery",2195
"69","Pau5507","10208426",2015-04-13,2015-12-03,"Pay Online",3310
"70","Paj5507","91567596",2015-04-14,2016-03-24,"Pay Online",2900
"75","Caf5510","10796759",2015-04-13,2015-05-27,"Cash on Delivery",1409
"80","Pae5513","10206805",2015-04-15,2015-07-27,"Pay Online",2592
"92","Pan5521","10208146",2015-04-18,2015-08-30,"Pay Online",10638
"96","Paq5522","10991385",2015-04-17,2016-03-10,"Pay Online",7773
"101","Pad5524","10194070",2015-04-19,2015-06-14,"Pay Online",2791
"103","Paa5524","10153690",2015-04-19,2015-05-10,"Pay Online",3194
"111","Cai5528","98244406",2015-04-19,2015-05-09,"Cash on Delivery",1995
"112","Pao5530","11352356",2015-04-18,2015-05-23,"Pay Online",4200
"113","Par5530","96662264",2015-04-19,2016-06-16,"Pay Online",2702
"114","Cab5530","10557302",2015-04-17,2015-05-28,"Cash on Delivery",7088
"121","Pay5534","97074306",2015-04-20,2016-01-26,"Pay Online",5194
"128","Cav5538","93059821",2015-04-20,2015-10-18,"Cash on Delivery",2193
"132","Cah5541","12530744",2015-04-19,2015-10-24,"Cash on Delivery",2190
"135","Cak5542","50969373",2015-04-19,2015-07-20,"Cash on Delivery",1900
"139","Cap5545","10360609",2015-04-20,2015-07-17,"Cash on Delivery",4497
"144","Cax5547","97906869",2015-04-20,2015-06-09,"Cash on Delivery",1490
