file_batch,ad_date,program_name,hourly_bucket,ad_content_type,device_category_web_traffic,channel_grouping_web_traffic,pre_intervention_start,pre_intervention_end,post_intervention_start,post_intervention_end,p_value,expected_avg_sessions,predicted_avg_sessions,effect,standard_deviation
6,24/6/2019 7:59,PINTUBERKAH,Entertainment,Morning,tablet,Direct,2019-01-01 00:00:00,2019-06-24 07:55:00,2019-06-24 09:30:00,2019-06-29 23:00:00,0.2543352601156069,198.2910447761194,184.79685087812862,0.07302177409338023,0.1098867785847548
6,24/6/2019 7:59,PINTUBERKAH,Entertainment,Morning,tablet,Organic Search,2019-01-01 00:00:00,2019-06-24 07:55:00,2019-06-24 09:30:00,2019-06-29 23:00:00,0.21,447.1940298507463,401.0282945530469,0.11511839918714936,0.1599104744895887
6,24/6/2019 10:52,KISSPAGI,Tv show,Morning,desktop,Direct,2019-01-01 00:00:00,2019-06-24 10:50:00,2019-06-24 10:55:00,2019-06-29 23:00:00,0.5,1273.3533834586467,1011.5515129313497,0.2588121980744489,7.456380879747913
6,24/6/2019 10:52,KISSPAGI,Tv show,Morning,desktop,Organic Search,2019-01-01 00:00:00,2019-06-24 10:50:00,2019-06-24 10:55:00,2019-06-29 23:00:00,0.5,6453.917293233083,5458.645669420683,0.18232940624593186,2.499065284510416
6,24/6/2019 10:52,KISSPAGI,Tv show,Morning,mobile,Direct,2019-01-01 00:00:00,2019-06-24 10:50:00,2019-06-24 10:55:00,2019-06-29 23:00:00,0.48412698412698413,6341.18045112782,4448.393157720065,0.4254991018774666,3.5854935500783083
6,24/6/2019 10:52,KISSPAGI,Tv show,Morning,mobile,Organic Search,2019-01-01 00:00:00,2019-06-24 10:50:00,2019-06-24 10:55:00,2019-06-29 23:00:00,0.45454545454545453,15287.646616541353,15529.757947829437,-0.015590154856336556,0.1802294522078361
6,24/6/2019 10:52,KISSPAGI,Tv show,Morning,tablet,Direct,2019-01-01 00:00:00,2019-06-24 10:50:00,2019-06-24 10:55:00,2019-06-29 23:00:00,0.22832369942196531,198.58646616541353,183.71909776420293,0.08092445794771073,0.10987744121628992
6,24/6/2019 10:52,KISSPAGI,Tv show,Morning,tablet,Organic Search,2019-01-01 00:00:00,2019-06-24 10:50:00,2019-06-24 10:55:00,2019-06-29 23:00:00,0.2,448.0075187969925,397.96610862124004,0.1257428939090359,0.1424333632120767
6,24/6/2019 10:52,PATROLI,News,Morning,desktop,Direct,2019-01-01 00:00:00,2019-06-24 10:50:00,2019-06-24 10:55:00,2019-06-29 23:00:00,0.5,1273.3533834586467,1011.5515129313497,0.2588121980744489,7.458072163426969
6,24/6/2019 10:52,PATROLI,News,Morning,desktop,Organic Search,2019-01-01 00:00:00,2019-06-24 10:50:00,2019-06-24 10:55:00,2019-06-29 23:00:00,0.5,6453.917293233083,5458.645669420683,0.18232940624593186,2.499180735909878
